LMJ.RY0402.230048,LMJ.RY0402.236229,LMJ.RY0402.230057,LMJ.RY0402.236237,LMJ.RY0402.230071,LMJ.RY0402.236255,LMJ.RY0402.230094,LMJ.RY0402.236270,LMJ.RY0402.230098,LMJ.RY0402.236293,LMJ.RY0402.230198,LMJ.RY0402.236306,LMJ.RY0402.230213,LMJ.RY0402.236329,LMJ.RY0402.230236,LMJ.RY0402.236339,LMJ.RY0402.230285,LMJ.RY0402.236349,LMJ.RY0402.230305,LMJ.RY0402.236353,LMJ.RY0402.230306,LMJ.RY0402.236359,LMJ.RY0402.230344,LMJ.RY0402.236370,LMJ.RY0402.230374,LMJ.RY0402.236372,LMJ.RY0402.230380,LMJ.RY0402.236410,LMJ.RY0402.230392,LMJ.RY0402.236442,LMJ.RY0402.230417,LMJ.RY0402.236448,LMJ.RY0402.230425,LMJ.RY0402.236502,LMJ.RY0402.230436,LMJ.RY0402.236540,LMJ.RY0402.230437,LMJ.RY0402.236555,LMJ.RY0402.230446,LMJ.RY0402.236572,LMJ.RY0402.230459,LMJ.RY0402.236577,LMJ.RY0402.230482,LMJ.RY0402.236585,LMJ.RY0402.230489,LMJ.RY0402.236615,LMJ.RY0402.230496,LMJ.RY0402.236641
LMJ.RY0402.243802,LMJ.RY0402.251929,LMJ.RY0402.243818,LMJ.RY0402.251999,LMJ.RY0402.243853,LMJ.RY0402.252011,LMJ.RY0402.243899,LMJ.RY0402.252016,LMJ.RY0402.243910,LMJ.RY0402.252038,LMJ.RY0402.243919,LMJ.RY0402.252059,LMJ.RY0402.243927,LMJ.RY0402.252073,LMJ.RY0402.243934,LMJ.RY0402.252078,LMJ.RY0402.243941,LMJ.RY0402.252127,LMJ.RY0402.243963,LMJ.RY0402.252145,LMJ.RY0402.243978,LMJ.RY0402.252157,LMJ.RY0402.244047,LMJ.RY0402.252211,LMJ.RY0402.244083,LMJ.RY0402.252216,LMJ.RY0402.244106,LMJ.RY0402.252236,LMJ.RY0402.244171,LMJ.RY0402.252262,LMJ.RY0402.244191,LMJ.RY0402.252269,LMJ.RY0402.244206,LMJ.RY0402.252271,LMJ.RY0402.244220,LMJ.RY0402.252279,LMJ.RY0402.244279,LMJ.RY0402.252301,LMJ.RY0402.244319,LMJ.RY0402.252312,LMJ.RY0402.244321,LMJ.RY0402.252320,LMJ.RY0402.244324,LMJ.RY0402.252350,LMJ.RY0402.244333,LMJ.RY0402.252357,LMJ.RY0402.244345,LMJ.RY0402.252360
LMJ.RY0402.230565,LMJ.RY0402.236654,LMJ.RY0402.230574,LMJ.RY0402.236703,LMJ.RY0402.230587,LMJ.RY0402.236718,LMJ.RY0402.230610,LMJ.RY0402.236765,LMJ.RY0402.230632,LMJ.RY0402.236773,LMJ.RY0402.230633,LMJ.RY0402.236807,LMJ.RY0402.230639,LMJ.RY0402.236808,LMJ.RY0402.230645,LMJ.RY0402.236809,LMJ.RY0402.230647,LMJ.RY0402.236810,LMJ.RY0402.230675,LMJ.RY0402.236832,LMJ.RY0402.230700,LMJ.RY0402.236838,LMJ.RY0402.230706,LMJ.RY0402.236849,LMJ.RY0402.230719,LMJ.RY0402.236887,LMJ.RY0402.230727,LMJ.RY0402.236936,LMJ.RY0402.230733,LMJ.RY0402.236941,LMJ.RY0402.230737,LMJ.RY0402.236954,LMJ.RY0402.230739,LMJ.RY0402.237012,LMJ.RY0402.230742,LMJ.RY0402.237085,LMJ.RY0402.230745,LMJ.RY0402.237117,LMJ.RY0402.230762,LMJ.RY0402.237139,LMJ.RY0402.230783,LMJ.RY0402.237143,LMJ.RY0402.230787,LMJ.RY0402.237145,LMJ.RY0402.230820,LMJ.RY0402.237172,LMJ.RY0402.230827,LMJ.RY0402.237174
LMJ.RY0402.244347,LMJ.RY0402.252364,LMJ.RY0402.244366,LMJ.RY0402.252386,LMJ.RY0402.244401,LMJ.RY0402.252388,LMJ.RY0402.244412,LMJ.RY0402.252424,LMJ.RY0402.244437,LMJ.RY0402.252449,LMJ.RY0402.244440,LMJ.RY0402.252491,LMJ.RY0402.244460,LMJ.RY0402.252504,LMJ.RY0402.244466,LMJ.RY0402.252589,LMJ.RY0402.244488,LMJ.RY0402.252604,LMJ.RY0402.244490,LMJ.RY0402.252607,LMJ.RY0402.244528,LMJ.RY0402.252612,LMJ.RY0402.244553,LMJ.RY0402.252617,LMJ.RY0402.244566,LMJ.RY0402.252620,LMJ.RY0402.244609,LMJ.RY0402.252622,LMJ.RY0402.244657,LMJ.RY0402.252629,LMJ.RY0402.244667,LMJ.RY0402.252639,LMJ.RY0402.244669,LMJ.RY0402.252640,LMJ.RY0402.244670,LMJ.RY0402.252649,LMJ.RY0402.244672,LMJ.RY0402.252655,LMJ.RY0402.244675,LMJ.RY0402.252675,LMJ.RY0402.244687,LMJ.RY0402.252687,LMJ.RY0402.244689,LMJ.RY0402.252690,LMJ.RY0402.244745,LMJ.RY0402.252691,LMJ.RY0402.244764,LMJ.RY0402.252694
LMJ.RY0402.230847,LMJ.RY0402.237176,LMJ.RY0402.230856,LMJ.RY0402.237184,LMJ.RY0402.230859,LMJ.RY0402.237206,LMJ.RY0402.230865,LMJ.RY0402.237217,LMJ.RY0402.230877,LMJ.RY0402.237249,LMJ.RY0402.230881,LMJ.RY0402.237267,LMJ.RY0402.230899,LMJ.RY0402.237268,LMJ.RY0402.230918,LMJ.RY0402.237285,LMJ.RY0402.230943,LMJ.RY0402.237288,LMJ.RY0402.230972,LMJ.RY0402.237333,LMJ.RY0402.230974,LMJ.RY0402.237349,LMJ.RY0402.230989,LMJ.RY0402.237369,LMJ.RY0402.231010,LMJ.RY0402.237422,LMJ.RY0402.231025,LMJ.RY0402.237442,LMJ.RY0402.231029,LMJ.RY0402.237468,LMJ.RY0402.231031,LMJ.RY0402.237475,LMJ.RY0402.231035,LMJ.RY0402.237494,LMJ.RY0402.231038,LMJ.RY0402.237501,LMJ.RY0402.231043,LMJ.RY0402.237503,LMJ.RY0402.231049,LMJ.RY0402.237530,LMJ.RY0402.231064,LMJ.RY0402.237560,LMJ.RY0402.231072,LMJ.RY0402.237569,LMJ.RY0402.231080,LMJ.RY0402.237592,LMJ.RY0402.231087,LMJ.RY0402.237602
LMJ.RY0402.244768,LMJ.RY0402.252697,LMJ.RY0402.244843,LMJ.RY0402.252708,LMJ.RY0402.244862,LMJ.RY0402.252818,LMJ.RY0402.244875,LMJ.RY0402.252836,LMJ.RY0402.244883,LMJ.RY0402.252840,LMJ.RY0402.244912,LMJ.RY0402.252845,LMJ.RY0402.244931,LMJ.RY0402.252857,LMJ.RY0402.244952,LMJ.RY0402.252877,LMJ.RY0402.244959,LMJ.RY0402.252887,LMJ.RY0402.244967,LMJ.RY0402.252900,LMJ.RY0402.244980,LMJ.RY0402.252914,LMJ.RY0402.244996,LMJ.RY0402.252937,LMJ.RY0402.245023,LMJ.RY0402.252961,LMJ.RY0402.245031,LMJ.RY0402.253011,LMJ.RY0402.245051,LMJ.RY0402.253048,LMJ.RY0402.245062,LMJ.RY0402.253052,LMJ.RY0402.245088,LMJ.RY0402.253063,LMJ.RY0402.245120,LMJ.RY0402.253066,LMJ.RY0402.245128,LMJ.RY0402.253069,LMJ.RY0402.245146,LMJ.RY0402.253072,LMJ.RY0402.245165,LMJ.RY0402.253121,LMJ.RY0402.245197,LMJ.RY0402.253140,LMJ.RY0402.245207,LMJ.RY0402.253153,LMJ.RY0402.245241,LMJ.RY0402.253180
LMJ.RY0402.231142,LMJ.RY0402.237627,LMJ.RY0402.231150,LMJ.RY0402.237638,LMJ.RY0402.231203,LMJ.RY0402.237670,LMJ.RY0402.231205,LMJ.RY0402.237674,LMJ.RY0402.231208,LMJ.RY0402.237694,LMJ.RY0402.231218,LMJ.RY0402.237711,LMJ.RY0402.231224,LMJ.RY0402.237717,LMJ.RY0402.231229,LMJ.RY0402.237725,LMJ.RY0402.231249,LMJ.RY0402.237733,LMJ.RY0402.231268,LMJ.RY0402.237764,LMJ.RY0402.231302,LMJ.RY0402.237767,LMJ.RY0402.231343,LMJ.RY0402.237771,LMJ.RY0402.231384,LMJ.RY0402.237789,LMJ.RY0402.231431,LMJ.RY0402.237840,LMJ.RY0402.231432,LMJ.RY0402.237886,LMJ.RY0402.231441,LMJ.RY0402.237933,LMJ.RY0402.231455,LMJ.RY0402.237947,LMJ.RY0402.231464,LMJ.RY0402.237958,LMJ.RY0402.231520,LMJ.RY0402.237977,LMJ.RY0402.231536,LMJ.RY0402.238007,LMJ.RY0402.231547,LMJ.RY0402.238013,LMJ.RY0402.231565,LMJ.RY0402.238018,LMJ.RY0402.231568,LMJ.RY0402.238023,LMJ.RY0402.231574,LMJ.RY0402.238067
LMJ.RY0402.245260,LMJ.RY0402.253187,LMJ.RY0402.245310,LMJ.RY0402.253208,LMJ.RY0402.245311,LMJ.RY0402.253245,LMJ.RY0402.245323,LMJ.RY0402.253266,LMJ.RY0402.245354,LMJ.RY0402.253281,LMJ.RY0402.245390,LMJ.RY0402.253299,LMJ.RY0402.245396,LMJ.RY0402.253302,LMJ.RY0402.245400,LMJ.RY0402.253349,LMJ.RY0402.245409,LMJ.RY0402.253363,LMJ.RY0402.245433,LMJ.RY0402.253370,LMJ.RY0402.245443,LMJ.RY0402.253374,LMJ.RY0402.245471,LMJ.RY0402.253397,LMJ.RY0402.245474,LMJ.RY0402.253451,LMJ.RY0402.245491,LMJ.RY0402.253452,LMJ.RY0402.245515,LMJ.RY0402.253461,LMJ.RY0402.245521,LMJ.RY0402.253462,LMJ.RY0402.245540,LMJ.RY0402.253469,LMJ.RY0402.245542,LMJ.RY0402.253489,LMJ.RY0402.245552,LMJ.RY0402.253502,LMJ.RY0402.245560,LMJ.RY0402.253514,LMJ.RY0402.245561,LMJ.RY0402.253550,LMJ.RY0402.245567,LMJ.RY0402.253552,LMJ.RY0402.245609,LMJ.RY0402.253580,LMJ.RY0402.245627,LMJ.RY0402.253632
LMJ.RY0402.231596,LMJ.RY0402.238082,LMJ.RY0402.231618,LMJ.RY0402.238125,LMJ.RY0402.231663,LMJ.RY0402.238135,LMJ.RY0402.231678,LMJ.RY0402.238140,LMJ.RY0402.231741,LMJ.RY0402.238196,LMJ.RY0402.231745,LMJ.RY0402.238233,LMJ.RY0402.231750,LMJ.RY0402.238236,LMJ.RY0402.231766,LMJ.RY0402.238245,LMJ.RY0402.231768,LMJ.RY0402.238251,LMJ.RY0402.231794,LMJ.RY0402.238270,LMJ.RY0402.231795,LMJ.RY0402.238273,LMJ.RY0402.231863,LMJ.RY0402.238274,LMJ.RY0402.231878,LMJ.RY0402.238298,LMJ.RY0402.231888,LMJ.RY0402.238311,LMJ.RY0402.231898,LMJ.RY0402.238356,LMJ.RY0402.231904,LMJ.RY0402.238396,LMJ.RY0402.231916,LMJ.RY0402.238413,LMJ.RY0402.231918,LMJ.RY0402.238428,LMJ.RY0402.231932,LMJ.RY0402.238451,LMJ.RY0402.231957,LMJ.RY0402.238468,LMJ.RY0402.231975,LMJ.RY0402.238474,LMJ.RY0402.231978,LMJ.RY0402.238487,LMJ.RY0402.232009,LMJ.RY0402.238494,LMJ.RY0402.232033,LMJ.RY0402.238589
LMJ.RY0402.245628,LMJ.RY0402.253634,LMJ.RY0402.245660,LMJ.RY0402.253692,LMJ.RY0402.245680,LMJ.RY0402.253697,LMJ.RY0402.245698,LMJ.RY0402.253730,LMJ.RY0402.245700,LMJ.RY0402.253749,LMJ.RY0402.245705,LMJ.RY0402.253766,LMJ.RY0402.245710,LMJ.RY0402.253771,LMJ.RY0402.245735,LMJ.RY0402.253795,LMJ.RY0402.245740,LMJ.RY0402.253822,LMJ.RY0402.245759,LMJ.RY0402.253825,LMJ.RY0402.245760,LMJ.RY0402.253835,LMJ.RY0402.245797,LMJ.RY0402.253844,LMJ.RY0402.245830,LMJ.RY0402.253850,LMJ.RY0402.245898,LMJ.RY0402.253871,LMJ.RY0402.245971,LMJ.RY0402.253879,LMJ.RY0402.245974,LMJ.RY0402.253895,LMJ.RY0402.246029,LMJ.RY0402.253901,LMJ.RY0402.246040,LMJ.RY0402.253906,LMJ.RY0402.246065,LMJ.RY0402.253909,LMJ.RY0402.246132,LMJ.RY0402.253911,LMJ.RY0402.246134,LMJ.RY0402.253930,LMJ.RY0402.246179,LMJ.RY0402.253938,LMJ.RY0402.246228,LMJ.RY0402.253961,LMJ.RY0402.246269,LMJ.RY0402.253968
LMJ.RY0402.232050,LMJ.RY0402.238593,LMJ.RY0402.232059,LMJ.RY0402.238609,LMJ.RY0402.232082,LMJ.RY0402.238703,LMJ.RY0402.232089,LMJ.RY0402.238717,LMJ.RY0402.232095,LMJ.RY0402.238728,LMJ.RY0402.232106,LMJ.RY0402.238737,LMJ.RY0402.232128,LMJ.RY0402.238742,LMJ.RY0402.232129,LMJ.RY0402.238743,LMJ.RY0402.232140,LMJ.RY0402.238748,LMJ.RY0402.232179,LMJ.RY0402.238777,LMJ.RY0402.232202,LMJ.RY0402.238778,LMJ.RY0402.232217,LMJ.RY0402.238804,LMJ.RY0402.232230,LMJ.RY0402.238834,LMJ.RY0402.232247,LMJ.RY0402.238845,LMJ.RY0402.232250,LMJ.RY0402.238854,LMJ.RY0402.232255,LMJ.RY0402.238883,LMJ.RY0402.232267,LMJ.RY0402.238891,LMJ.RY0402.232305,LMJ.RY0402.238920,LMJ.RY0402.232353,LMJ.RY0402.238956,LMJ.RY0402.232384,LMJ.RY0402.238983,LMJ.RY0402.232389,LMJ.RY0402.239014,LMJ.RY0402.232405,LMJ.RY0402.239016,LMJ.RY0402.232420,LMJ.RY0402.239034,LMJ.RY0402.232426,LMJ.RY0402.239047
