LMJ.RY0402.046740,LMJ.RY0402.053262,LMJ.RY0402.059448,LMJ.RY0402.066100,LMJ.RY0402.079562,LMJ.RY0402.088561,LMJ.RY0402.099329,LMJ.RY0402.106753,LMJ.RY0402.114642,LMJ.RY0402.121786,LMJ.RY0402.128194,LMJ.RY0402.134401,LMJ.RY0402.141162,LMJ.RY0402.148207,LMJ.RY0402.162350,LMJ.RY0402.168720,LMJ.RY0402.176260,LMJ.RY0402.183263,LMJ.RY0402.190852,LMJ.RY0402.198022,LMJ.RY0402.205114,LMJ.RY0402.211510,LMJ.RY0402.216974,LMJ.RY0402.223694,LMJ.RY0402.230344,LMJ.RY0402.236370,LMJ.RY0402.244047,LMJ.RY0402.252211,LMJ.RY0402.039776,LMJ.RY0402.046448,LMJ.RY0402.151463,LMJ.RY0402.061947,LMJ.RY0402.199972,LMJ.RY0402.120248,LMJ.RY0402.199578,LMJ.RY0402.155052
LMJ.RY0402.046778,LMJ.RY0402.053320,LMJ.RY0402.059455,LMJ.RY0402.066323,LMJ.RY0402.079577,LMJ.RY0402.088563,LMJ.RY0402.099334,LMJ.RY0402.106758,LMJ.RY0402.114686,LMJ.RY0402.121787,LMJ.RY0402.128213,LMJ.RY0402.134402,LMJ.RY0402.141182,LMJ.RY0402.148210,LMJ.RY0402.162360,LMJ.RY0402.168721,LMJ.RY0402.176293,LMJ.RY0402.183268,LMJ.RY0402.190871,LMJ.RY0402.198036,LMJ.RY0402.205115,LMJ.RY0402.211521,LMJ.RY0402.216979,LMJ.RY0402.223725,LMJ.RY0402.230374,LMJ.RY0402.236372,LMJ.RY0402.244083,LMJ.RY0402.252216,LMJ.RY0402.039855,LMJ.RY0402.046470,LMJ.RY0402.150742,LMJ.RY0402.062189,LMJ.RY0402.199985,LMJ.RY0402.120494,LMJ.RY0402.199773,LMJ.RY0402.155055
LMJ.RY0402.046783,LMJ.RY0402.053337,LMJ.RY0402.059459,LMJ.RY0402.066330,LMJ.RY0402.079586,LMJ.RY0402.088577,LMJ.RY0402.099340,LMJ.RY0402.106779,LMJ.RY0402.114697,LMJ.RY0402.121792,LMJ.RY0402.128224,LMJ.RY0402.134408,LMJ.RY0402.141209,LMJ.RY0402.148251,LMJ.RY0402.162366,LMJ.RY0402.168741,LMJ.RY0402.176308,LMJ.RY0402.183321,LMJ.RY0402.190881,LMJ.RY0402.198039,LMJ.RY0402.205127,LMJ.RY0402.211527,LMJ.RY0402.216987,LMJ.RY0402.223728,LMJ.RY0402.230380,LMJ.RY0402.236410,LMJ.RY0402.244106,LMJ.RY0402.252236,LMJ.RY0402.039863,LMJ.RY0402.046478,LMJ.RY0402.150808,LMJ.RY0402.062223,LMJ.RY0402.200126,LMJ.RY0402.120630,LMJ.RY0402.200029,LMJ.RY0402.155080
LMJ.RY0402.046798,LMJ.RY0402.053354,LMJ.RY0402.059461,LMJ.RY0402.066335,LMJ.RY0402.079659,LMJ.RY0402.088599,LMJ.RY0402.099358,LMJ.RY0402.106875,LMJ.RY0402.114699,LMJ.RY0402.121804,LMJ.RY0402.128256,LMJ.RY0402.134414,LMJ.RY0402.141216,LMJ.RY0402.148255,LMJ.RY0402.162419,LMJ.RY0402.168748,LMJ.RY0402.176317,LMJ.RY0402.183336,LMJ.RY0402.190897,LMJ.RY0402.198041,LMJ.RY0402.205156,LMJ.RY0402.211531,LMJ.RY0402.217014,LMJ.RY0402.223733,LMJ.RY0402.230392,LMJ.RY0402.236442,LMJ.RY0402.244171,LMJ.RY0402.252262,LMJ.RY0402.039880,LMJ.RY0402.046494,LMJ.RY0402.151711,LMJ.RY0402.062533,LMJ.RY0402.201664,LMJ.RY0402.120680,LMJ.RY0402.200036,LMJ.RY0402.155115
LMJ.RY0402.046815,LMJ.RY0402.053366,LMJ.RY0402.059469,LMJ.RY0402.066534,LMJ.RY0402.079700,LMJ.RY0402.088624,LMJ.RY0402.099377,LMJ.RY0402.106925,LMJ.RY0402.114714,LMJ.RY0402.121818,LMJ.RY0402.128284,LMJ.RY0402.134432,LMJ.RY0402.141229,LMJ.RY0402.148258,LMJ.RY0402.162449,LMJ.RY0402.168801,LMJ.RY0402.176320,LMJ.RY0402.183359,LMJ.RY0402.190906,LMJ.RY0402.198049,LMJ.RY0402.205169,LMJ.RY0402.211559,LMJ.RY0402.217032,LMJ.RY0402.223741,LMJ.RY0402.230417,LMJ.RY0402.236448,LMJ.RY0402.244191,LMJ.RY0402.252269,LMJ.RY0402.039896,LMJ.RY0402.046500,LMJ.RY0402.151721,LMJ.RY0402.063374,LMJ.RY0402.202169,LMJ.RY0402.120790,LMJ.RY0402.200318,LMJ.RY0402.155123
LMJ.RY0402.046834,LMJ.RY0402.053371,LMJ.RY0402.059470,LMJ.RY0402.066566,LMJ.RY0402.079830,LMJ.RY0402.088655,LMJ.RY0402.099389,LMJ.RY0402.107020,LMJ.RY0402.114747,LMJ.RY0402.121853,LMJ.RY0402.128294,LMJ.RY0402.134453,LMJ.RY0402.141233,LMJ.RY0402.148267,LMJ.RY0402.162453,LMJ.RY0402.168814,LMJ.RY0402.176363,LMJ.RY0402.183362,LMJ.RY0402.190922,LMJ.RY0402.198109,LMJ.RY0402.205170,LMJ.RY0402.211560,LMJ.RY0402.217059,LMJ.RY0402.223755,LMJ.RY0402.230425,LMJ.RY0402.236502,LMJ.RY0402.244206,LMJ.RY0402.252271,LMJ.RY0402.039910,LMJ.RY0402.046514,LMJ.RY0402.156840,LMJ.RY0402.063382,LMJ.RY0402.202377,LMJ.RY0402.120879,LMJ.RY0402.200648,LMJ.RY0402.155312
LMJ.RY0402.046870,LMJ.RY0402.053395,LMJ.RY0402.059475,LMJ.RY0402.066642,LMJ.RY0402.079841,LMJ.RY0402.088662,LMJ.RY0402.099392,LMJ.RY0402.107026,LMJ.RY0402.114770,LMJ.RY0402.121900,LMJ.RY0402.128323,LMJ.RY0402.134457,LMJ.RY0402.141252,LMJ.RY0402.148310,LMJ.RY0402.162530,LMJ.RY0402.168855,LMJ.RY0402.176371,LMJ.RY0402.183363,LMJ.RY0402.190939,LMJ.RY0402.198113,LMJ.RY0402.205178,LMJ.RY0402.211561,LMJ.RY0402.217062,LMJ.RY0402.223763,LMJ.RY0402.230436,LMJ.RY0402.236540,LMJ.RY0402.244220,LMJ.RY0402.252279,LMJ.RY0402.039947,LMJ.RY0402.046521,LMJ.RY0402.158612,LMJ.RY0402.063396,LMJ.RY0402.202697,LMJ.RY0402.121077,LMJ.RY0402.200862,LMJ.RY0402.155527
LMJ.RY0402.046893,LMJ.RY0402.053419,LMJ.RY0402.059497,LMJ.RY0402.066685,LMJ.RY0402.079880,LMJ.RY0402.088679,LMJ.RY0402.099405,LMJ.RY0402.107036,LMJ.RY0402.114825,LMJ.RY0402.121944,LMJ.RY0402.128337,LMJ.RY0402.134459,LMJ.RY0402.141266,LMJ.RY0402.148312,LMJ.RY0402.162531,LMJ.RY0402.168875,LMJ.RY0402.176396,LMJ.RY0402.183365,LMJ.RY0402.190948,LMJ.RY0402.198134,LMJ.RY0402.205185,LMJ.RY0402.211566,LMJ.RY0402.217077,LMJ.RY0402.223776,LMJ.RY0402.230437,LMJ.RY0402.236555,LMJ.RY0402.244279,LMJ.RY0402.252301,LMJ.RY0402.039953,LMJ.RY0402.046531,LMJ.RY0402.158719,LMJ.RY0402.063551,LMJ.RY0402.202901,LMJ.RY0402.121171,LMJ.RY0402.200998,LMJ.RY0402.155535
LMJ.RY0402.046907,LMJ.RY0402.053434,LMJ.RY0402.059521,LMJ.RY0402.066736,LMJ.RY0402.079889,LMJ.RY0402.088681,LMJ.RY0402.099420,LMJ.RY0402.107037,LMJ.RY0402.114858,LMJ.RY0402.121956,LMJ.RY0402.128345,LMJ.RY0402.134472,LMJ.RY0402.141293,LMJ.RY0402.148325,LMJ.RY0402.162534,LMJ.RY0402.168902,LMJ.RY0402.176409,LMJ.RY0402.183371,LMJ.RY0402.190953,LMJ.RY0402.198146,LMJ.RY0402.205197,LMJ.RY0402.211570,LMJ.RY0402.217084,LMJ.RY0402.223780,LMJ.RY0402.230446,LMJ.RY0402.236572,LMJ.RY0402.244319,LMJ.RY0402.252312,LMJ.RY0402.039970,LMJ.RY0402.046534,LMJ.RY0402.160461,LMJ.RY0402.064049,LMJ.RY0402.202909,LMJ.RY0402.121192,LMJ.RY0402.201039,LMJ.RY0402.155562
LMJ.RY0402.046915,LMJ.RY0402.053442,LMJ.RY0402.059539,LMJ.RY0402.066775,LMJ.RY0402.079919,LMJ.RY0402.088683,LMJ.RY0402.099440,LMJ.RY0402.107043,LMJ.RY0402.114863,LMJ.RY0402.121979,LMJ.RY0402.128371,LMJ.RY0402.134474,LMJ.RY0402.141305,LMJ.RY0402.148349,LMJ.RY0402.162607,LMJ.RY0402.168910,LMJ.RY0402.176423,LMJ.RY0402.183376,LMJ.RY0402.190954,LMJ.RY0402.198154,LMJ.RY0402.205219,LMJ.RY0402.211589,LMJ.RY0402.217126,LMJ.RY0402.223843,LMJ.RY0402.230459,LMJ.RY0402.236577,LMJ.RY0402.244321,LMJ.RY0402.252320,LMJ.RY0402.039980,LMJ.RY0402.046554,LMJ.RY0402.161384,LMJ.RY0402.064650,LMJ.RY0402.203043,LMJ.RY0402.121404,LMJ.RY0402.201087,LMJ.RY0402.155567
