LMJ.RY0402.039555,LMJ.RY0402.046340,LMJ.RY0402.039556,LMJ.RY0402.046343,LMJ.RY0402.039565,LMJ.RY0402.046345,LMJ.RY0402.039632,LMJ.RY0402.046346,LMJ.RY0402.039648,LMJ.RY0402.046382,LMJ.RY0402.039650,LMJ.RY0402.046384,LMJ.RY0402.039657,LMJ.RY0402.046388,LMJ.RY0402.039737,LMJ.RY0402.046390,LMJ.RY0402.039749,LMJ.RY0402.046402,LMJ.RY0402.039762,LMJ.RY0402.046407,LMJ.RY0402.039772,LMJ.RY0402.046408,LMJ.RY0402.039776,LMJ.RY0402.046448,LMJ.RY0402.039855,LMJ.RY0402.046470,LMJ.RY0402.039863,LMJ.RY0402.046478,LMJ.RY0402.039880,LMJ.RY0402.046494,LMJ.RY0402.039896,LMJ.RY0402.046500,LMJ.RY0402.039910,LMJ.RY0402.046514,LMJ.RY0402.039947,LMJ.RY0402.046521,LMJ.RY0402.039953,LMJ.RY0402.046531,LMJ.RY0402.039970,LMJ.RY0402.046534,LMJ.RY0402.039980,LMJ.RY0402.046554,LMJ.RY0402.040001,LMJ.RY0402.046570,LMJ.RY0402.040002,LMJ.RY0402.046585,LMJ.RY0402.040038,LMJ.RY0402.046607
LMJ.RY0402.147181,LMJ.RY0402.057681,LMJ.RY0402.147321,LMJ.RY0402.057760,LMJ.RY0402.147398,LMJ.RY0402.058147,LMJ.RY0402.147915,LMJ.RY0402.060047,LMJ.RY0402.148713,LMJ.RY0402.060103,LMJ.RY0402.148960,LMJ.RY0402.060656,LMJ.RY0402.149153,LMJ.RY0402.060675,LMJ.RY0402.150308,LMJ.RY0402.060706,LMJ.RY0402.150653,LMJ.RY0402.060712,LMJ.RY0402.150742,LMJ.RY0402.061211,LMJ.RY0402.150808,LMJ.RY0402.061724,LMJ.RY0402.151463,LMJ.RY0402.061947,LMJ.RY0402.150742,LMJ.RY0402.062189,LMJ.RY0402.150808,LMJ.RY0402.062223,LMJ.RY0402.151711,LMJ.RY0402.062533,LMJ.RY0402.151721,LMJ.RY0402.063374,LMJ.RY0402.156840,LMJ.RY0402.063382,LMJ.RY0402.158612,LMJ.RY0402.063396,LMJ.RY0402.158719,LMJ.RY0402.063551,LMJ.RY0402.160461,LMJ.RY0402.064049,LMJ.RY0402.161384,LMJ.RY0402.064650,LMJ.RY0402.161527,LMJ.RY0402.065274,LMJ.RY0402.161589,LMJ.RY0402.065341,LMJ.RY0402.161623,LMJ.RY0402.065687
LMJ.RY0402.040059,LMJ.RY0402.046612,LMJ.RY0402.040086,LMJ.RY0402.039411,LMJ.RY0402.040090,LMJ.RY0402.039538,LMJ.RY0402.040122,LMJ.RY0402.042974,LMJ.RY0402.040130,LMJ.RY0402.043070,LMJ.RY0402.040145,LMJ.RY0402.043159,LMJ.RY0402.040153,LMJ.RY0402.043432,LMJ.RY0402.040155,LMJ.RY0402.043489,LMJ.RY0402.040169,LMJ.RY0402.044608,LMJ.RY0402.040188,LMJ.RY0402.044894,LMJ.RY0402.040219,LMJ.RY0402.047134,LMJ.RY0402.040252,LMJ.RY0402.047828,LMJ.RY0402.040259,LMJ.RY0402.048689,LMJ.RY0402.040262,LMJ.RY0402.048799,LMJ.RY0402.040291,LMJ.RY0402.048818,LMJ.RY0402.040294,LMJ.RY0402.048836,LMJ.RY0402.040316,LMJ.RY0402.049043,LMJ.RY0402.040326,LMJ.RY0402.049358,LMJ.RY0402.040361,LMJ.RY0402.049429,LMJ.RY0402.040368,LMJ.RY0402.049442,LMJ.RY0402.040396,LMJ.RY0402.049474,LMJ.RY0402.040400,LMJ.RY0402.050812,LMJ.RY0402.040415,LMJ.RY0402.051377,LMJ.RY0402.040456,LMJ.RY0402.051414
LMJ.RY0402.162556,LMJ.RY0402.065796,LMJ.RY0402.163882,LMJ.RY0402.066169,LMJ.RY0402.164208,LMJ.RY0402.066511,LMJ.RY0402.164261,LMJ.RY0402.068354,LMJ.RY0402.164843,LMJ.RY0402.068482,LMJ.RY0402.165719,LMJ.RY0402.068535,LMJ.RY0402.165955,LMJ.RY0402.068803,LMJ.RY0402.166326,LMJ.RY0402.068925,LMJ.RY0402.167612,LMJ.RY0402.069039,LMJ.RY0402.167628,LMJ.RY0402.072082,LMJ.RY0402.167953,LMJ.RY0402.072751,LMJ.RY0402.167954,LMJ.RY0402.073052,LMJ.RY0402.168863,LMJ.RY0402.073248,LMJ.RY0402.168906,LMJ.RY0402.073303,LMJ.RY0402.171449,LMJ.RY0402.074597,LMJ.RY0402.171580,LMJ.RY0402.075407,LMJ.RY0402.171619,LMJ.RY0402.077372,LMJ.RY0402.172089,LMJ.RY0402.078666,LMJ.RY0402.172112,LMJ.RY0402.078956,LMJ.RY0402.172234,LMJ.RY0402.079134,LMJ.RY0402.172634,LMJ.RY0402.080411,LMJ.RY0402.172839,LMJ.RY0402.080451,LMJ.RY0402.172898,LMJ.RY0402.080459,LMJ.RY0402.172960,LMJ.RY0402.080507
LMJ.RY0402.040465,LMJ.RY0402.051548,LMJ.RY0402.040485,LMJ.RY0402.051951,LMJ.RY0402.040512,LMJ.RY0402.052106,LMJ.RY0402.040574,LMJ.RY0402.052115,LMJ.RY0402.040578,LMJ.RY0402.052289,LMJ.RY0402.040586,LMJ.RY0402.052315,LMJ.RY0402.040643,LMJ.RY0402.052793,LMJ.RY0402.040665,LMJ.RY0402.053573,LMJ.RY0402.040675,LMJ.RY0402.053613,LMJ.RY0402.040682,LMJ.RY0402.054337,LMJ.RY0402.040690,LMJ.RY0402.054678,LMJ.RY0402.040693,LMJ.RY0402.054766,LMJ.RY0402.040722,LMJ.RY0402.054875,LMJ.RY0402.040734,LMJ.RY0402.055149,LMJ.RY0402.040750,LMJ.RY0402.055554,LMJ.RY0402.040760,LMJ.RY0402.056169,LMJ.RY0402.040766,LMJ.RY0402.057044,LMJ.RY0402.040771,LMJ.RY0402.057417,LMJ.RY0402.040773,LMJ.RY0402.057425,LMJ.RY0402.040792,LMJ.RY0402.058025,LMJ.RY0402.040867,LMJ.RY0402.058387,LMJ.RY0402.040981,LMJ.RY0402.058811,LMJ.RY0402.041015,LMJ.RY0402.058825,LMJ.RY0402.041033,LMJ.RY0402.059212
LMJ.RY0402.172982,LMJ.RY0402.080551,LMJ.RY0402.172992,LMJ.RY0402.081129,LMJ.RY0402.173036,LMJ.RY0402.082010,LMJ.RY0402.173089,LMJ.RY0402.082254,LMJ.RY0402.173106,LMJ.RY0402.082623,LMJ.RY0402.173140,LMJ.RY0402.083422,LMJ.RY0402.173145,LMJ.RY0402.084297,LMJ.RY0402.173150,LMJ.RY0402.084585,LMJ.RY0402.173155,LMJ.RY0402.084613,LMJ.RY0402.173164,LMJ.RY0402.084706,LMJ.RY0402.173179,LMJ.RY0402.084981,LMJ.RY0402.174805,LMJ.RY0402.085915,LMJ.RY0402.174843,LMJ.RY0402.085946,LMJ.RY0402.174931,LMJ.RY0402.086506,LMJ.RY0402.175141,LMJ.RY0402.087259,LMJ.RY0402.176299,LMJ.RY0402.087292,LMJ.RY0402.176457,LMJ.RY0402.088002,LMJ.RY0402.176489,LMJ.RY0402.088044,LMJ.RY0402.177034,LMJ.RY0402.088108,LMJ.RY0402.177040,LMJ.RY0402.088135,LMJ.RY0402.178992,LMJ.RY0402.088269,LMJ.RY0402.179652,LMJ.RY0402.088300,LMJ.RY0402.180227,LMJ.RY0402.088422,LMJ.RY0402.182546,LMJ.RY0402.088501
LMJ.RY0402.041042,LMJ.RY0402.059357,LMJ.RY0402.041069,LMJ.RY0402.059417,LMJ.RY0402.041079,LMJ.RY0402.059423,LMJ.RY0402.041090,LMJ.RY0402.059494,LMJ.RY0402.041093,LMJ.RY0402.059605,LMJ.RY0402.041101,LMJ.RY0402.059783,LMJ.RY0402.041124,LMJ.RY0402.060143,LMJ.RY0402.041125,LMJ.RY0402.060708,LMJ.RY0402.041137,LMJ.RY0402.060870,LMJ.RY0402.041161,LMJ.RY0402.061100,LMJ.RY0402.041162,LMJ.RY0402.061162,LMJ.RY0402.041171,LMJ.RY0402.061286,LMJ.RY0402.041173,LMJ.RY0402.061349,LMJ.RY0402.041203,LMJ.RY0402.061353,LMJ.RY0402.041215,LMJ.RY0402.061366,LMJ.RY0402.041234,LMJ.RY0402.061386,LMJ.RY0402.041263,LMJ.RY0402.061403,LMJ.RY0402.041270,LMJ.RY0402.061882,LMJ.RY0402.041295,LMJ.RY0402.062023,LMJ.RY0402.041336,LMJ.RY0402.062291,LMJ.RY0402.041355,LMJ.RY0402.062494,LMJ.RY0402.041372,LMJ.RY0402.062626,LMJ.RY0402.041374,LMJ.RY0402.063199,LMJ.RY0402.041401,LMJ.RY0402.064726
LMJ.RY0402.183574,LMJ.RY0402.088610,LMJ.RY0402.184068,LMJ.RY0402.090396,LMJ.RY0402.184476,LMJ.RY0402.090437,LMJ.RY0402.184758,LMJ.RY0402.090466,LMJ.RY0402.184915,LMJ.RY0402.092002,LMJ.RY0402.185184,LMJ.RY0402.092028,LMJ.RY0402.185266,LMJ.RY0402.092110,LMJ.RY0402.185351,LMJ.RY0402.092425,LMJ.RY0402.185456,LMJ.RY0402.093580,LMJ.RY0402.186160,LMJ.RY0402.093825,LMJ.RY0402.187019,LMJ.RY0402.095630,LMJ.RY0402.187091,LMJ.RY0402.096849,LMJ.RY0402.187389,LMJ.RY0402.097029,LMJ.RY0402.187723,LMJ.RY0402.097173,LMJ.RY0402.188174,LMJ.RY0402.097477,LMJ.RY0402.188281,LMJ.RY0402.097765,LMJ.RY0402.189318,LMJ.RY0402.097918,LMJ.RY0402.189471,LMJ.RY0402.098050,LMJ.RY0402.189631,LMJ.RY0402.099044,LMJ.RY0402.189741,LMJ.RY0402.100051,LMJ.RY0402.189857,LMJ.RY0402.100268,LMJ.RY0402.190184,LMJ.RY0402.100467,LMJ.RY0402.190223,LMJ.RY0402.100483,LMJ.RY0402.190396,LMJ.RY0402.100604
LMJ.RY0402.041435,LMJ.RY0402.064744,LMJ.RY0402.041443,LMJ.RY0402.064822,LMJ.RY0402.041454,LMJ.RY0402.065081,LMJ.RY0402.041459,LMJ.RY0402.065123,LMJ.RY0402.041471,LMJ.RY0402.065173,LMJ.RY0402.041478,LMJ.RY0402.065194,LMJ.RY0402.041498,LMJ.RY0402.065401,LMJ.RY0402.041523,LMJ.RY0402.065792,LMJ.RY0402.041528,LMJ.RY0402.067065,LMJ.RY0402.041543,LMJ.RY0402.067548,LMJ.RY0402.041547,LMJ.RY0402.068360,LMJ.RY0402.041595,LMJ.RY0402.068383,LMJ.RY0402.041611,LMJ.RY0402.068440,LMJ.RY0402.041619,LMJ.RY0402.068831,LMJ.RY0402.041629,LMJ.RY0402.068995,LMJ.RY0402.041648,LMJ.RY0402.069068,LMJ.RY0402.041721,LMJ.RY0402.070363,LMJ.RY0402.041758,LMJ.RY0402.075670,LMJ.RY0402.041759,LMJ.RY0402.078154,LMJ.RY0402.041764,LMJ.RY0402.078370,LMJ.RY0402.041791,LMJ.RY0402.078539,LMJ.RY0402.041826,LMJ.RY0402.078567,LMJ.RY0402.041835,LMJ.RY0402.078674,LMJ.RY0402.041841,LMJ.RY0402.079097
LMJ.RY0402.190890,LMJ.RY0402.101911,LMJ.RY0402.191230,LMJ.RY0402.102205,LMJ.RY0402.191936,LMJ.RY0402.102719,LMJ.RY0402.192848,LMJ.RY0402.103815,LMJ.RY0402.193146,LMJ.RY0402.103953,LMJ.RY0402.193424,LMJ.RY0402.104567,LMJ.RY0402.194023,LMJ.RY0402.104882,LMJ.RY0402.194482,LMJ.RY0402.105594,LMJ.RY0402.194631,LMJ.RY0402.105884,LMJ.RY0402.194820,LMJ.RY0402.106839,LMJ.RY0402.195536,LMJ.RY0402.107220,LMJ.RY0402.195669,LMJ.RY0402.107628,LMJ.RY0402.196041,LMJ.RY0402.108037,LMJ.RY0402.196630,LMJ.RY0402.108983,LMJ.RY0402.196731,LMJ.RY0402.110119,LMJ.RY0402.197018,LMJ.RY0402.110204,LMJ.RY0402.197027,LMJ.RY0402.110678,LMJ.RY0402.197105,LMJ.RY0402.110746,LMJ.RY0402.197156,LMJ.RY0402.110768,LMJ.RY0402.197274,LMJ.RY0402.111133,LMJ.RY0402.197381,LMJ.RY0402.111224,LMJ.RY0402.197511,LMJ.RY0402.111261,LMJ.RY0402.197554,LMJ.RY0402.111368,LMJ.RY0402.197652,LMJ.RY0402.111553
LMJ.RY0402.041852,LMJ.RY0402.079296,LMJ.RY0402.041866,LMJ.RY0402.079968,LMJ.RY0402.041908,LMJ.RY0402.080229,LMJ.RY0402.041914,LMJ.RY0402.080402,LMJ.RY0402.041929,LMJ.RY0402.080509,LMJ.RY0402.041930,LMJ.RY0402.080526,LMJ.RY0402.041956,LMJ.RY0402.080552,LMJ.RY0402.041990,LMJ.RY0402.080558,LMJ.RY0402.041994,LMJ.RY0402.080753,LMJ.RY0402.042007,LMJ.RY0402.081638,LMJ.RY0402.042024,LMJ.RY0402.082617,LMJ.RY0402.042043,LMJ.RY0402.082891,LMJ.RY0402.042063,LMJ.RY0402.083045,LMJ.RY0402.042064,LMJ.RY0402.083546,LMJ.RY0402.042071,LMJ.RY0402.083573,LMJ.RY0402.042084,LMJ.RY0402.083803,LMJ.RY0402.042123,LMJ.RY0402.084206,LMJ.RY0402.042144,LMJ.RY0402.084641,LMJ.RY0402.042145,LMJ.RY0402.085049,LMJ.RY0402.042146,LMJ.RY0402.085482,LMJ.RY0402.042148,LMJ.RY0402.085813,LMJ.RY0402.042153,LMJ.RY0402.086171,LMJ.RY0402.042167,LMJ.RY0402.086517,LMJ.RY0402.042191,LMJ.RY0402.086877
