LMJ.RY0402.114338,LMJ.RY0402.121612,LMJ.RY0402.114356,LMJ.RY0402.121658,LMJ.RY0402.114398,LMJ.RY0402.121690,LMJ.RY0402.114454,LMJ.RY0402.121698,LMJ.RY0402.114464,LMJ.RY0402.121712,LMJ.RY0402.114472,LMJ.RY0402.121714,LMJ.RY0402.114510,LMJ.RY0402.121737,LMJ.RY0402.114517,LMJ.RY0402.121747,LMJ.RY0402.114603,LMJ.RY0402.121748,LMJ.RY0402.114637,LMJ.RY0402.121764,LMJ.RY0402.114638,LMJ.RY0402.121773,LMJ.RY0402.114642,LMJ.RY0402.121786,LMJ.RY0402.114686,LMJ.RY0402.121787,LMJ.RY0402.114697,LMJ.RY0402.121792,LMJ.RY0402.114699,LMJ.RY0402.121804,LMJ.RY0402.114714,LMJ.RY0402.121818,LMJ.RY0402.114747,LMJ.RY0402.121853,LMJ.RY0402.114770,LMJ.RY0402.121900,LMJ.RY0402.114825,LMJ.RY0402.121944,LMJ.RY0402.114858,LMJ.RY0402.121956,LMJ.RY0402.114863,LMJ.RY0402.121979,LMJ.RY0402.114866,LMJ.RY0402.122038,LMJ.RY0402.114879,LMJ.RY0402.122064,LMJ.RY0402.114886,LMJ.RY0402.122106
LMJ.RY0402.127991,LMJ.RY0402.134254,LMJ.RY0402.127995,LMJ.RY0402.134261,LMJ.RY0402.128003,LMJ.RY0402.134301,LMJ.RY0402.128073,LMJ.RY0402.134311,LMJ.RY0402.128077,LMJ.RY0402.134319,LMJ.RY0402.128081,LMJ.RY0402.134333,LMJ.RY0402.128087,LMJ.RY0402.134339,LMJ.RY0402.128134,LMJ.RY0402.134349,LMJ.RY0402.128151,LMJ.RY0402.134360,LMJ.RY0402.128164,LMJ.RY0402.134375,LMJ.RY0402.128176,LMJ.RY0402.134399,LMJ.RY0402.128194,LMJ.RY0402.134401,LMJ.RY0402.128213,LMJ.RY0402.134402,LMJ.RY0402.128224,LMJ.RY0402.134408,LMJ.RY0402.128256,LMJ.RY0402.134414,LMJ.RY0402.128284,LMJ.RY0402.134432,LMJ.RY0402.128294,LMJ.RY0402.134453,LMJ.RY0402.128323,LMJ.RY0402.134457,LMJ.RY0402.128337,LMJ.RY0402.134459,LMJ.RY0402.128345,LMJ.RY0402.134472,LMJ.RY0402.128371,LMJ.RY0402.134474,LMJ.RY0402.128400,LMJ.RY0402.134481,LMJ.RY0402.128413,LMJ.RY0402.134501,LMJ.RY0402.128419,LMJ.RY0402.134520
LMJ.RY0402.114901,LMJ.RY0402.122116,LMJ.RY0402.114909,LMJ.RY0402.122125,LMJ.RY0402.114920,LMJ.RY0402.122140,LMJ.RY0402.114926,LMJ.RY0402.122163,LMJ.RY0402.114983,LMJ.RY0402.122204,LMJ.RY0402.114997,LMJ.RY0402.122205,LMJ.RY0402.115034,LMJ.RY0402.122231,LMJ.RY0402.115041,LMJ.RY0402.122247,LMJ.RY0402.115044,LMJ.RY0402.122260,LMJ.RY0402.115057,LMJ.RY0402.122302,LMJ.RY0402.115066,LMJ.RY0402.122310,LMJ.RY0402.115127,LMJ.RY0402.122328,LMJ.RY0402.115177,LMJ.RY0402.122333,LMJ.RY0402.115184,LMJ.RY0402.122345,LMJ.RY0402.115194,LMJ.RY0402.122362,LMJ.RY0402.115220,LMJ.RY0402.122438,LMJ.RY0402.115231,LMJ.RY0402.122460,LMJ.RY0402.115243,LMJ.RY0402.122477,LMJ.RY0402.115245,LMJ.RY0402.122496,LMJ.RY0402.115254,LMJ.RY0402.122500,LMJ.RY0402.115256,LMJ.RY0402.122530,LMJ.RY0402.115262,LMJ.RY0402.122561,LMJ.RY0402.115266,LMJ.RY0402.122565,LMJ.RY0402.115280,LMJ.RY0402.122574
LMJ.RY0402.128420,LMJ.RY0402.134551,LMJ.RY0402.128436,LMJ.RY0402.134562,LMJ.RY0402.128456,LMJ.RY0402.134566,LMJ.RY0402.128502,LMJ.RY0402.134584,LMJ.RY0402.128511,LMJ.RY0402.134645,LMJ.RY0402.128517,LMJ.RY0402.134654,LMJ.RY0402.128534,LMJ.RY0402.134677,LMJ.RY0402.128610,LMJ.RY0402.134689,LMJ.RY0402.128620,LMJ.RY0402.134699,LMJ.RY0402.128624,LMJ.RY0402.134714,LMJ.RY0402.128694,LMJ.RY0402.134720,LMJ.RY0402.128710,LMJ.RY0402.134722,LMJ.RY0402.128711,LMJ.RY0402.134746,LMJ.RY0402.128760,LMJ.RY0402.134747,LMJ.RY0402.128764,LMJ.RY0402.134755,LMJ.RY0402.128770,LMJ.RY0402.134760,LMJ.RY0402.128817,LMJ.RY0402.134762,LMJ.RY0402.128841,LMJ.RY0402.134777,LMJ.RY0402.128847,LMJ.RY0402.134794,LMJ.RY0402.128862,LMJ.RY0402.134807,LMJ.RY0402.128875,LMJ.RY0402.134810,LMJ.RY0402.128889,LMJ.RY0402.134811,LMJ.RY0402.128900,LMJ.RY0402.134812,LMJ.RY0402.128902,LMJ.RY0402.134813
LMJ.RY0402.115282,LMJ.RY0402.122583,LMJ.RY0402.115290,LMJ.RY0402.122586,LMJ.RY0402.115339,LMJ.RY0402.122605,LMJ.RY0402.115354,LMJ.RY0402.122614,LMJ.RY0402.115355,LMJ.RY0402.122662,LMJ.RY0402.115360,LMJ.RY0402.122685,LMJ.RY0402.115365,LMJ.RY0402.122688,LMJ.RY0402.115389,LMJ.RY0402.122691,LMJ.RY0402.115408,LMJ.RY0402.122698,LMJ.RY0402.115410,LMJ.RY0402.122709,LMJ.RY0402.115419,LMJ.RY0402.122753,LMJ.RY0402.115421,LMJ.RY0402.122772,LMJ.RY0402.115432,LMJ.RY0402.122775,LMJ.RY0402.115460,LMJ.RY0402.122779,LMJ.RY0402.115465,LMJ.RY0402.122810,LMJ.RY0402.115497,LMJ.RY0402.122830,LMJ.RY0402.115523,LMJ.RY0402.122849,LMJ.RY0402.115535,LMJ.RY0402.122879,LMJ.RY0402.115536,LMJ.RY0402.122885,LMJ.RY0402.115550,LMJ.RY0402.122895,LMJ.RY0402.115568,LMJ.RY0402.122903,LMJ.RY0402.115572,LMJ.RY0402.122904,LMJ.RY0402.115582,LMJ.RY0402.122926,LMJ.RY0402.115602,LMJ.RY0402.122932
LMJ.RY0402.128909,LMJ.RY0402.134823,LMJ.RY0402.128926,LMJ.RY0402.134829,LMJ.RY0402.128959,LMJ.RY0402.134831,LMJ.RY0402.128971,LMJ.RY0402.134840,LMJ.RY0402.129000,LMJ.RY0402.134843,LMJ.RY0402.129002,LMJ.RY0402.134881,LMJ.RY0402.129012,LMJ.RY0402.134890,LMJ.RY0402.129053,LMJ.RY0402.134891,LMJ.RY0402.129102,LMJ.RY0402.134895,LMJ.RY0402.129108,LMJ.RY0402.134898,LMJ.RY0402.129125,LMJ.RY0402.134904,LMJ.RY0402.129145,LMJ.RY0402.134925,LMJ.RY0402.129203,LMJ.RY0402.134929,LMJ.RY0402.129235,LMJ.RY0402.134930,LMJ.RY0402.129238,LMJ.RY0402.134951,LMJ.RY0402.129244,LMJ.RY0402.134959,LMJ.RY0402.129281,LMJ.RY0402.134972,LMJ.RY0402.129286,LMJ.RY0402.134982,LMJ.RY0402.129310,LMJ.RY0402.135009,LMJ.RY0402.129312,LMJ.RY0402.135010,LMJ.RY0402.129313,LMJ.RY0402.135020,LMJ.RY0402.129321,LMJ.RY0402.135021,LMJ.RY0402.129337,LMJ.RY0402.135035,LMJ.RY0402.129369,LMJ.RY0402.135069
LMJ.RY0402.115620,LMJ.RY0402.122970,LMJ.RY0402.115625,LMJ.RY0402.122986,LMJ.RY0402.115630,LMJ.RY0402.122996,LMJ.RY0402.115649,LMJ.RY0402.123011,LMJ.RY0402.115670,LMJ.RY0402.123019,LMJ.RY0402.115672,LMJ.RY0402.123040,LMJ.RY0402.115726,LMJ.RY0402.123070,LMJ.RY0402.115741,LMJ.RY0402.123072,LMJ.RY0402.115744,LMJ.RY0402.123121,LMJ.RY0402.115774,LMJ.RY0402.123158,LMJ.RY0402.115788,LMJ.RY0402.123173,LMJ.RY0402.115894,LMJ.RY0402.123183,LMJ.RY0402.115909,LMJ.RY0402.123229,LMJ.RY0402.115939,LMJ.RY0402.123245,LMJ.RY0402.115947,LMJ.RY0402.123259,LMJ.RY0402.115955,LMJ.RY0402.123368,LMJ.RY0402.115957,LMJ.RY0402.123380,LMJ.RY0402.115964,LMJ.RY0402.123404,LMJ.RY0402.115985,LMJ.RY0402.123408,LMJ.RY0402.116014,LMJ.RY0402.123415,LMJ.RY0402.116019,LMJ.RY0402.123431,LMJ.RY0402.116023,LMJ.RY0402.123467,LMJ.RY0402.116045,LMJ.RY0402.123473,LMJ.RY0402.116061,LMJ.RY0402.123482
LMJ.RY0402.129386,LMJ.RY0402.135070,LMJ.RY0402.129431,LMJ.RY0402.135074,LMJ.RY0402.129440,LMJ.RY0402.135079,LMJ.RY0402.129442,LMJ.RY0402.135081,LMJ.RY0402.129443,LMJ.RY0402.135088,LMJ.RY0402.129485,LMJ.RY0402.135103,LMJ.RY0402.129502,LMJ.RY0402.135115,LMJ.RY0402.129505,LMJ.RY0402.135123,LMJ.RY0402.129510,LMJ.RY0402.135128,LMJ.RY0402.129521,LMJ.RY0402.135137,LMJ.RY0402.129525,LMJ.RY0402.135144,LMJ.RY0402.129527,LMJ.RY0402.135149,LMJ.RY0402.129531,LMJ.RY0402.135151,LMJ.RY0402.129535,LMJ.RY0402.135152,LMJ.RY0402.129543,LMJ.RY0402.135156,LMJ.RY0402.129583,LMJ.RY0402.135158,LMJ.RY0402.129586,LMJ.RY0402.135164,LMJ.RY0402.129596,LMJ.RY0402.135188,LMJ.RY0402.129600,LMJ.RY0402.135193,LMJ.RY0402.129629,LMJ.RY0402.135199,LMJ.RY0402.129645,LMJ.RY0402.135210,LMJ.RY0402.129673,LMJ.RY0402.135215,LMJ.RY0402.129676,LMJ.RY0402.135220,LMJ.RY0402.129712,LMJ.RY0402.135233
LMJ.RY0402.116100,LMJ.RY0402.123501,LMJ.RY0402.116126,LMJ.RY0402.123508,LMJ.RY0402.116134,LMJ.RY0402.123527,LMJ.RY0402.116152,LMJ.RY0402.123536,LMJ.RY0402.116189,LMJ.RY0402.123596,LMJ.RY0402.116197,LMJ.RY0402.123640,LMJ.RY0402.116232,LMJ.RY0402.123642,LMJ.RY0402.116233,LMJ.RY0402.123649,LMJ.RY0402.116253,LMJ.RY0402.123665,LMJ.RY0402.116270,LMJ.RY0402.123670,LMJ.RY0402.116273,LMJ.RY0402.123682,LMJ.RY0402.116307,LMJ.RY0402.123693,LMJ.RY0402.116325,LMJ.RY0402.123730,LMJ.RY0402.116330,LMJ.RY0402.123744,LMJ.RY0402.116340,LMJ.RY0402.123762,LMJ.RY0402.116346,LMJ.RY0402.123787,LMJ.RY0402.116351,LMJ.RY0402.123808,LMJ.RY0402.116360,LMJ.RY0402.123838,LMJ.RY0402.116416,LMJ.RY0402.123869,LMJ.RY0402.116438,LMJ.RY0402.123883,LMJ.RY0402.116468,LMJ.RY0402.123908,LMJ.RY0402.116587,LMJ.RY0402.123909,LMJ.RY0402.116613,LMJ.RY0402.123917,LMJ.RY0402.116666,LMJ.RY0402.123932
LMJ.RY0402.129726,LMJ.RY0402.135256,LMJ.RY0402.129743,LMJ.RY0402.135329,LMJ.RY0402.129776,LMJ.RY0402.135351,LMJ.RY0402.129787,LMJ.RY0402.135371,LMJ.RY0402.129796,LMJ.RY0402.135426,LMJ.RY0402.129807,LMJ.RY0402.135442,LMJ.RY0402.129820,LMJ.RY0402.135458,LMJ.RY0402.129826,LMJ.RY0402.135466,LMJ.RY0402.129827,LMJ.RY0402.135480,LMJ.RY0402.129842,LMJ.RY0402.135507,LMJ.RY0402.129847,LMJ.RY0402.135508,LMJ.RY0402.129854,LMJ.RY0402.135523,LMJ.RY0402.129901,LMJ.RY0402.135563,LMJ.RY0402.129905,LMJ.RY0402.135568,LMJ.RY0402.129947,LMJ.RY0402.135602,LMJ.RY0402.129964,LMJ.RY0402.135620,LMJ.RY0402.130005,LMJ.RY0402.135625,LMJ.RY0402.130022,LMJ.RY0402.135645,LMJ.RY0402.130024,LMJ.RY0402.135677,LMJ.RY0402.130055,LMJ.RY0402.135696,LMJ.RY0402.130125,LMJ.RY0402.135756,LMJ.RY0402.130173,LMJ.RY0402.135770,LMJ.RY0402.130180,LMJ.RY0402.135825,LMJ.RY0402.130200,LMJ.RY0402.135860
LMJ.RY0402.116685,LMJ.RY0402.123951,LMJ.RY0402.116699,LMJ.RY0402.124005,LMJ.RY0402.116710,LMJ.RY0402.124019,LMJ.RY0402.116738,LMJ.RY0402.124026,LMJ.RY0402.116754,LMJ.RY0402.124034,LMJ.RY0402.116759,LMJ.RY0402.124046,LMJ.RY0402.116764,LMJ.RY0402.124060,LMJ.RY0402.116765,LMJ.RY0402.124078,LMJ.RY0402.116771,LMJ.RY0402.124081,LMJ.RY0402.116795,LMJ.RY0402.124082,LMJ.RY0402.116828,LMJ.RY0402.124085,LMJ.RY0402.116841,LMJ.RY0402.124205,LMJ.RY0402.116867,LMJ.RY0402.124271,LMJ.RY0402.116881,LMJ.RY0402.124365,LMJ.RY0402.116928,LMJ.RY0402.124374,LMJ.RY0402.116946,LMJ.RY0402.124377,LMJ.RY0402.117005,LMJ.RY0402.124414,LMJ.RY0402.117016,LMJ.RY0402.124417,LMJ.RY0402.117085,LMJ.RY0402.124428,LMJ.RY0402.117100,LMJ.RY0402.124431,LMJ.RY0402.117112,LMJ.RY0402.124434,LMJ.RY0402.117113,LMJ.RY0402.124439,LMJ.RY0402.117137,LMJ.RY0402.124452,LMJ.RY0402.117146,LMJ.RY0402.124459
